run,method,t_close_125,t_settle_egap,tau_fit_egap,ratio
dual_pulse_v20_tau2_s0,B2,3.349999999999996,11.40000000000011,3.6068762416812956,3.4029850746269026
dual_pulse_v20_tau2_s1,B2,3.399999999999997,11.40000000000011,3.61412797476596,3.352941176470624
dual_pulse_v20_tau2_s2,B2,3.349999999999996,11.500000000000112,3.626764858630573,3.43283582089556
dual_pulse_v20_tau2_s3,B2,3.349999999999996,11.40000000000011,3.591333180544201,3.4029850746269026
dual_pulse_v20_tau2_s4,B2,3.399999999999997,11.300000000000109,3.5570208290454617,3.323529411764741
baseline_v2.5_tau0.5_s0,baseline,2.299999999999991,35.04999999999986,21.005188689212325,15.23913043478261
baseline_v2.5_tau0.5_s1,baseline,2.299999999999991,35.04999999999986,21.04407782862436,15.23913043478261
baseline_v2.5_tau0.5_s2,baseline,2.249999999999992,35.04999999999986,21.059472236593923,15.577777777777772
baseline_v2.5_tau0.5_s3,baseline,2.299999999999991,34.999999999999865,21.07475089928726,15.217391304347828
baseline_v2.5_tau0.5_s4,baseline,2.299999999999991,34.94999999999987,20.9803209751349,15.195652173913047
baseline_v2.5_tau1_s0,baseline,3.2499999999999947,35.14999999999986,20.227309453018183,10.81538461538459
baseline_v2.5_tau1_s1,baseline,3.0999999999999925,35.199999999999854,20.32407546635713,11.354838709677399
baseline_v2.5_tau1_s2,baseline,3.1499999999999932,35.199999999999854,20.29324031809402,11.174603174603153
baseline_v2.5_tau1_s3,baseline,3.0999999999999925,35.14999999999986,20.301782402698656,11.338709677419336
baseline_v2.5_tau1_s4,baseline,3.1499999999999932,35.04999999999986,20.25305039298319,11.126984126984107
baseline_v2.5_tau2_s0,baseline,4.850000000000019,35.49999999999984,18.6976169769451,7.319587628865917
baseline_v2.5_tau2_s1,baseline,4.750000000000016,35.54999999999984,18.73944971095049,7.484210526315731
baseline_v2.5_tau2_s2,baseline,4.750000000000016,35.54999999999984,18.750885648021,7.484210526315731
baseline_v2.5_tau2_s3,baseline,4.750000000000016,35.49999999999984,18.697929103429047,7.473684210526256
baseline_v2.5_tau2_s4,baseline,4.750000000000016,35.39999999999985,18.65348574623118,7.452631578947312
dual_pulse_v2.5_tau0.5_s0,B2,1.7999999999999936,4.800000000000017,1.3961870621091825,2.6666666666666856
dual_pulse_v2.5_tau0.5_s1,B2,1.7999999999999936,4.850000000000019,1.4082224455674899,2.6944444444444646
dual_pulse_v2.5_tau0.5_s2,B2,1.7999999999999936,4.850000000000019,1.4277467477171728,2.6944444444444646
dual_pulse_v2.5_tau0.5_s3,B2,1.699999999999994,4.750000000000016,1.3803953895277024,2.794117647058843
dual_pulse_v2.5_tau0.5_s4,B2,1.7999999999999936,4.750000000000016,1.3857981373017638,2.638888888888907
dual_pulse_v2.5_tau1_s0,B2,2.3499999999999917,6.9500000000000455,2.140969119917366,2.957446808510668
dual_pulse_v2.5_tau1_s1,B2,2.3499999999999917,7.100000000000051,2.1637317352541654,3.0212765957447134
dual_pulse_v2.5_tau1_s2,B2,2.249999999999992,7.000000000000048,2.143036703842615,3.1111111111111436
dual_pulse_v2.5_tau1_s3,B2,2.299999999999991,6.9000000000000465,2.1242405562002324,3.000000000000032
dual_pulse_v2.5_tau1_s4,B2,2.3499999999999917,6.9500000000000455,2.116424703962095,2.957446808510668
dual_pulse_v2.5_tau2_s0,B2,3.349999999999996,11.40000000000011,3.6068762416812956,3.4029850746269026
dual_pulse_v2.5_tau2_s1,B2,3.399999999999997,11.40000000000011,3.61412797476596,3.352941176470624
dual_pulse_v2.5_tau2_s2,B2,3.349999999999996,11.500000000000112,3.626764858630573,3.43283582089556
dual_pulse_v2.5_tau2_s3,B2,3.349999999999996,11.40000000000011,3.591333180544201,3.4029850746269026
dual_pulse_v2.5_tau2_s4,B2,3.399999999999997,11.300000000000109,3.5570208290454617,3.323529411764741
baseline_v5_tau0.5_s0,baseline,2.299999999999991,35.04999999999986,21.005188689212325,15.23913043478261
baseline_v5_tau0.5_s1,baseline,2.299999999999991,35.04999999999986,21.04407782862436,15.23913043478261
baseline_v5_tau0.5_s2,baseline,2.249999999999992,35.04999999999986,21.059472236593923,15.577777777777772
baseline_v5_tau0.5_s3,baseline,2.299999999999991,34.999999999999865,21.07475089928726,15.217391304347828
baseline_v5_tau0.5_s4,baseline,2.299999999999991,34.94999999999987,20.9803209751349,15.195652173913047
baseline_v5_tau1_s0,baseline,3.2499999999999947,35.14999999999986,20.227309453018183,10.81538461538459
baseline_v5_tau1_s1,baseline,3.0999999999999925,35.199999999999854,20.32407546635713,11.354838709677399
baseline_v5_tau1_s2,baseline,3.1499999999999932,35.199999999999854,20.29324031809402,11.174603174603153
baseline_v5_tau1_s3,baseline,3.0999999999999925,35.14999999999986,20.301782402698656,11.338709677419336
baseline_v5_tau1_s4,baseline,3.1499999999999932,35.04999999999986,20.25305039298319,11.126984126984107
baseline_v5_tau2_s0,baseline,4.850000000000019,35.49999999999984,18.6976169769451,7.319587628865917
baseline_v5_tau2_s1,baseline,4.750000000000016,35.54999999999984,18.73944971095049,7.484210526315731
baseline_v5_tau2_s2,baseline,4.750000000000016,35.54999999999984,18.750885648021,7.484210526315731
baseline_v5_tau2_s3,baseline,4.750000000000016,35.49999999999984,18.697929103429047,7.473684210526256
baseline_v5_tau2_s4,baseline,4.750000000000016,35.39999999999985,18.65348574623118,7.452631578947312
dual_pulse_v5_tau0.5_s0,B2,1.7499999999999947,4.800000000000017,1.4000423699808142,2.7428571428571606
dual_pulse_v5_tau0.5_s1,B2,1.7999999999999936,4.850000000000019,1.4104641337478376,2.6944444444444646
dual_pulse_v5_tau0.5_s2,B2,1.7999999999999936,4.850000000000019,1.4303089767559714,2.6944444444444646
dual_pulse_v5_tau0.5_s3,B2,1.699999999999994,4.750000000000016,1.3844481506367399,2.794117647058843
dual_pulse_v5_tau0.5_s4,B2,1.7999999999999936,4.750000000000016,1.3902111469089513,2.638888888888907
dual_pulse_v5_tau1_s0,B2,2.3499999999999917,6.9500000000000455,2.140969119917366,2.957446808510668
dual_pulse_v5_tau1_s1,B2,2.3499999999999917,7.100000000000051,2.1637317352541654,3.0212765957447134
dual_pulse_v5_tau1_s2,B2,2.249999999999992,7.000000000000048,2.143036703842615,3.1111111111111436
dual_pulse_v5_tau1_s3,B2,2.299999999999991,6.9000000000000465,2.1242405562002324,3.000000000000032
dual_pulse_v5_tau1_s4,B2,2.3499999999999917,6.9500000000000455,2.116424703962095,2.957446808510668
dual_pulse_v5_tau2_s0,B2,3.349999999999996,11.40000000000011,3.6068762416812956,3.4029850746269026
dual_pulse_v5_tau2_s1,B2,3.399999999999997,11.40000000000011,3.61412797476596,3.352941176470624
dual_pulse_v5_tau2_s2,B2,3.349999999999996,11.500000000000112,3.626764858630573,3.43283582089556
dual_pulse_v5_tau2_s3,B2,3.349999999999996,11.40000000000011,3.591333180544201,3.4029850746269026
dual_pulse_v5_tau2_s4,B2,3.399999999999997,11.300000000000109,3.5570208290454617,3.323529411764741
